,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
1128,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/302072009/,Москва,sale,flat,29,53,3,192.0,245181499.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
1129,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/309101286/,Москва,sale,flat,3,3,3,100.8,250000000.0,Пресненский,Малая Бронная ,30/1,Пушкинская,
1130,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308605600/,Москва,sale,flat,10,12,4,300.0,250000000.0,Замоскворечье,Климентовский переулок,2,Новокузнецкая,
1131,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307939748/,Москва,sale,flat,5,9,5,206.0,260000000.0,Хамовники,7-й Ростовский переулок,15,Киевская,
1132,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/308894772/,Москва,sale,flat,40,67,4,210.0,260870000.0,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
1133,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/309586343/,Москва,sale,flat,2,4,3,122.0,268400000.0,Пресненский,Хлебный переулок,24,Арбатская,
1134,Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/286396662/,Москва,sale,flat,5,6,4,340.0,293500500.0,Якиманка, Большая Полянка,61С2,Добрынинская,
1135,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/307776060/,Москва,sale,flat,7,7,4,220.0,295000000.0,Хамовники,1-й Зачатьевский переулок,4,Кропоткинская,
1136,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/305882494/,Москва,sale,flat,13,19,5,377.0,300000000.0,Раменки,Ломоносовский проспект,25к5,Университет,Dominion
1137,Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/306693668/,Москва,sale,flat,7,10,4,201.0,309000000.0,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал
